City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
223,San Patricio,US,28.017,-97.5169,69.8,64,1,10.36,clear sky,2021-01-29 17:01:07
224,Outram,MY,1.2829,103.8379,78.8,83,75,8.05,broken clouds,2021-01-29 17:01:07
225,Pemangkat,ID,1.1667,108.9667,75.09,91,100,8.9,light rain,2021-01-29 17:01:07
226,Sisimiut,GL,66.9395,-53.6735,10.96,74,0,9.08,clear sky,2021-01-29 17:01:08
227,Hualmay,PE,-11.0964,-77.6139,76.12,65,43,11.65,scattered clouds,2021-01-29 17:01:08
228,Bongandanga,CD,1.5,21.05,82.65,61,91,1.86,overcast clouds,2021-01-29 17:01:08
229,Kapit,MY,2.0167,112.9333,73.0,95,100,1.59,overcast clouds,2021-01-29 17:01:08
230,Leninsk,RU,48.7119,45.1994,30.2,93,0,8.95,clear sky,2021-01-29 17:01:09
231,Prince Rupert,CA,54.3161,-130.3201,35.6,86,90,2.3,overcast clouds,2021-01-29 17:00:04
232,Fairbanks,US,64.8378,-147.7164,0.0,77,1,2.86,clear sky,2021-01-29 17:00:15
233,Tibati,CM,6.4667,12.6333,85.01,17,58,5.75,broken clouds,2021-01-29 17:01:09
234,Opuwo,NA,-18.0607,13.84,78.19,49,94,7.07,overcast clouds,2021-01-29 17:01:09
235,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,77,20,12.66,few clouds,2021-01-29 17:01:09
236,Yar-Sale,RU,66.8333,70.8333,-41.3,80,14,6.55,few clouds,2021-01-29 17:01:09
237,Fort Nelson,CA,58.8053,-122.7002,-20.2,76,40,2.3,scattered clouds,2021-01-29 16:56:36
238,Cherskiy,RU,68.75,161.3,-30.84,84,88,4.68,overcast clouds,2021-01-29 16:57:40
239,Byron Bay,AU,-28.65,153.6167,68.0,94,40,6.08,mist,2021-01-29 17:01:10
240,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,93.38,42,90,16.13,overcast clouds,2021-01-29 17:01:10
241,San Andres,CO,12.5847,-81.7006,84.2,65,20,11.5,few clouds,2021-01-29 17:01:10
242,Chingirlau,KZ,51.095,54.0814,32.29,97,100,13.71,overcast clouds,2021-01-29 17:01:10
243,Sibu,MY,2.3,111.8167,77.0,94,40,1.01,scattered clouds,2021-01-29 17:01:10
244,Zaozerne,UA,45.1582,33.2787,45.0,56,93,8.01,overcast clouds,2021-01-29 17:01:10
245,Versalles,FR,48.8,2.1333,50.0,87,90,17.27,overcast clouds,2021-01-29 17:01:11
246,Paamiut,GL,61.994,-49.6678,37.26,74,89,9.42,overcast clouds,2021-01-29 17:01:11
247,Verkhnetulomskiy,RU,68.6073,31.7962,8.6,78,40,4.47,scattered clouds,2021-01-29 17:01:11
248,Mecca,SA,21.4267,39.8261,72.25,49,4,11.52,light rain,2021-01-29 16:59:35
249,Kommunar,RU,59.6206,30.39,32.0,93,90,6.71,light snow,2021-01-29 17:01:11
250,Zhadovka,RU,53.5746,46.9498,26.35,98,100,8.19,overcast clouds,2021-01-29 17:01:12
251,Balabac,PH,7.9868,117.0645,80.65,79,49,16.44,scattered clouds,2021-01-29 17:01:12
